[02:10:04] === bench-spark run ===
[02:10:04] Profile: dense-31b
[02:10:04] Tests:   A B C D E F G H I J
[02:10:04] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[02:10:04] ── START A ──
[06:26:49]     ... F running: 60s, GPU 96%
[06:27:49]     ... F running: 120s, GPU 96%
[06:28:49]     ... F running: 180s, GPU 96%
[06:29:49]     ... F running: 240s, GPU 96%
[06:30:49]     ... F running: 300s, GPU 96%
[06:31:49]     ... F running: 360s, GPU 96%
[06:32:49]     ... F running: 420s, GPU 96%
[06:33:49]     ... F running: 480s, GPU 96%
[06:34:49]     ... F running: 540s, GPU 96%
[06:35:49]     ... F running: 600s, GPU 96%
[06:36:49]     ... F running: 660s, GPU 96%
[06:37:49]     ... F running: 720s, GPU 96%
[06:38:49]     ... F running: 780s, GPU 96%
[06:39:49]     ... F running: 840s, GPU 96%
[06:40:49]     ... F running: 900s, GPU 96%
[06:41:50]     ... F running: 961s, GPU 96%
[06:42:50]     ... F running: 1021s, GPU 96%
[06:43:50]     ... F running: 1081s, GPU 96%
[06:44:50]     ... F running: 1141s, GPU 96%
[06:45:50]     ... F running: 1201s, GPU 96%
[06:46:50]     ... F running: 1261s, GPU 96%
[06:47:50]     ... F running: 1321s, GPU 96%
[06:48:50]     ... F running: 1381s, GPU 96%
[06:49:50]     ... F running: 1441s, GPU 96%
[06:50:50]     ... F running: 1501s, GPU 96%
[06:51:50]     ... F running: 1561s, GPU 96%
[06:52:50]     ... F running: 1621s, GPU 96%
[06:53:50]     ... F running: 1681s, GPU 96%
[06:54:50]     ... F running: 1741s, GPU 96%
[06:55:50]     ... F running: 1801s, GPU 96%
[06:56:50]     ... F running: 1861s, GPU 96%
[06:57:50]     ... F running: 1921s, GPU 96%
[06:58:50]     ... F running: 1981s, GPU 96%
[06:59:50]     ... F running: 2041s, GPU 96%
[07:00:50]     ... F running: 2101s, GPU 96%
[07:01:50]     ... F running: 2161s, GPU 96%
[07:02:50]     ... F running: 2221s, GPU 96%
[07:03:06] ── END F (2237s) ──
[07:03:06] ── START G ──
[07:04:06]     ... G running: 60s, GPU 96%
[07:05:06]     ... G running: 120s, GPU 96%
[07:06:06]     ... G running: 180s, GPU 96%
[07:07:07]     ... G running: 241s, GPU 96%
[07:08:07]     ... G running: 301s, GPU 96%
[07:09:07]     ... G running: 361s, GPU 96%
[07:10:07]     ... G running: 421s, GPU 96%
[07:11:07]     ... G running: 481s, GPU 96%
[07:12:07]     ... G running: 541s, GPU 96%
[07:13:07]     ... G running: 601s, GPU 96%
[07:14:07]     ... G running: 661s, GPU 96%
[07:15:07]     ... G running: 721s, GPU 96%
[07:16:07]     ... G running: 781s, GPU 96%
[07:17:07]     ... G running: 841s, GPU 96%
[07:18:07]     ... G running: 901s, GPU 0%
[07:18:09] ── END G (903s) ──
[07:18:09] ── START H ──
[07:19:09]     ... H running: 60s, GPU 96%
[07:20:09]     ... H running: 120s, GPU 96%
[07:21:09]     ... H running: 180s, GPU 96%
[07:22:09]     ... H running: 240s, GPU 96%
[07:23:09]     ... H running: 300s, GPU 96%
[07:24:09]     ... H running: 360s, GPU 96%
[07:25:09]     ... H running: 420s, GPU 96%
[07:26:09]     ... H running: 480s, GPU 96%
[07:27:09]     ... H running: 540s, GPU 96%
[07:28:09]     ... H running: 600s, GPU 96%
[07:29:09]     ... H running: 660s, GPU 96%
[07:30:09]     ... H running: 720s, GPU 96%
[07:31:09]     ... H running: 780s, GPU 96%
[07:32:09]     ... H running: 840s, GPU 96%
[07:33:09]     ... H running: 900s, GPU 96%
[07:34:09]     ... H running: 960s, GPU 96%
[07:35:09]     ... H running: 1020s, GPU 96%
[07:36:09]     ... H running: 1080s, GPU 96%
[07:37:09]     ... H running: 1140s, GPU 96%
[07:38:09]     ... H running: 1200s, GPU 96%
[07:39:09]     ... H running: 1260s, GPU 96%
[07:40:10]     ... H running: 1321s, GPU 96%
[07:41:10]     ... H running: 1381s, GPU 96%
[07:42:10]     ... H running: 1441s, GPU 96%
[07:43:10]     ... H running: 1501s, GPU 96%
[07:44:10]     ... H running: 1561s, GPU 96%
[07:45:10]     ... H running: 1621s, GPU 96%
[07:46:10]     ... H running: 1681s, GPU 96%
[07:47:10]     ... H running: 1741s, GPU 96%
[07:48:10]     ... H running: 1801s, GPU 96%
[07:49:10]     ... H running: 1861s, GPU 96%
[07:50:01] ── END H (1912s) ──
[07:50:01] ── START I ──
[07:50:02] Kopieer ShareGPT naar container...
[07:51:02]     ... I running: 61s, GPU 96%
[07:52:02]     ... I running: 121s, GPU 96%
[07:53:02]     ... I running: 181s, GPU 96%
[07:54:02]     ... I running: 241s, GPU 96%
[07:55:02]     ... I running: 301s, GPU 96%
[07:56:02]     ... I running: 361s, GPU 96%
[07:57:02]     ... I running: 421s, GPU 96%
[07:58:02]     ... I running: 481s, GPU 96%
[07:59:02]     ... I running: 541s, GPU 96%
[08:00:02]     ... I running: 601s, GPU 96%
[08:01:02]     ... I running: 661s, GPU 96%
[08:02:02]     ... I running: 721s, GPU 96%
[08:03:02]     ... I running: 781s, GPU 96%
[08:04:02]     ... I running: 841s, GPU 96%
[08:05:02]     ... I running: 901s, GPU 96%
[08:06:02]     ... I running: 961s, GPU 96%
[08:07:03]     ... I running: 1022s, GPU 96%
[08:07:48] ── END I (1067s) ──
[08:07:48] ── START J ──
[08:08:49]     ... J running: 61s, GPU 96%
[08:09:49]     ... J running: 121s, GPU 96%
[08:10:49]     ... J running: 181s, GPU 96%
[08:11:49]     ... J running: 241s, GPU 96%
[08:12:49]     ... J running: 301s, GPU 96%
[08:13:49]     ... J running: 361s, GPU 96%
[08:14:49]     ... J running: 421s, GPU 96%
[08:15:49]     ... J running: 481s, GPU 96%
[08:16:49]     ... J running: 541s, GPU 96%
[08:17:49]     ... J running: 601s, GPU 96%
[08:18:49]     ... J running: 661s, GPU 96%
[08:19:49]     ... J running: 721s, GPU 96%
[08:20:49]     ... J running: 781s, GPU 96%
[08:21:49]     ... J running: 841s, GPU 96%
[08:22:49]     ... J running: 901s, GPU 96%
[08:23:49]     ... J running: 961s, GPU 96%
[08:24:49]     ... J running: 1021s, GPU 96%
[08:25:49]     ... J running: 1081s, GPU 96%
[08:26:49]     ... J running: 1141s, GPU 96%
[08:27:49]     ... J running: 1201s, GPU 96%
[08:28:50]     ... J running: 1262s, GPU 96%
[08:29:50]     ... J running: 1322s, GPU 96%
[08:30:50]     ... J running: 1382s, GPU 96%
[08:31:50]     ... J running: 1442s, GPU 96%
[08:32:50]     ... J running: 1502s, GPU 96%
[08:33:50]     ... J running: 1562s, GPU 96%
[08:34:50]     ... J running: 1622s, GPU 96%
[08:35:50]     ... J running: 1682s, GPU 96%
[08:36:50]     ... J running: 1742s, GPU 96%
[08:37:50]     ... J running: 1802s, GPU 96%
[08:38:50]     ... J running: 1862s, GPU 96%
[08:39:50]     ... J running: 1922s, GPU 96%
[08:40:50]     ... J running: 1982s, GPU 96%
[08:41:50]     ... J running: 2042s, GPU 96%
[08:42:50]     ... J running: 2102s, GPU 96%
[08:43:50]     ... J running: 2162s, GPU 96%
[08:44:50]     ... J running: 2222s, GPU 96%
[08:45:50]     ... J running: 2282s, GPU 96%
[08:46:50]     ... J running: 2342s, GPU 96%
[08:47:50]     ... J running: 2402s, GPU 96%
[08:48:51]     ... J running: 2463s, GPU 96%
[08:49:51]     ... J running: 2523s, GPU 96%
[08:50:51]     ... J running: 2583s, GPU 96%
[08:51:51]     ... J running: 2643s, GPU 96%
[08:52:51]     ... J running: 2703s, GPU 96%
[08:53:51]     ... J running: 2763s, GPU 96%
[08:54:51]     ... J running: 2823s, GPU 96%
[08:55:51]     ... J running: 2883s, GPU 96%
[08:56:51]     ... J running: 2943s, GPU 96%
[08:57:51]     ... J running: 3003s, GPU 96%
[08:58:51]     ... J running: 3063s, GPU 96%
[08:59:51]     ... J running: 3123s, GPU 96%
[09:00:51]     ... J running: 3183s, GPU 96%
[09:01:51]     ... J running: 3243s, GPU 96%
[09:02:51]     ... J running: 3303s, GPU 96%
[09:03:51]     ... J running: 3363s, GPU 96%
[09:04:51] ── END J (3423s) ──
[09:04:51] === klaar (24887s = 414m) ===

════════ nieuwe sessie 2026-08-06T14:44:32+02:00 ════════
[14:44:32] === bench-spark run ===
[14:44:32] Profile: dense-31b
[14:44:32] Tests:   01 02 03 04 05 06 07 08 09 10 11
[14:44:32] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/bf16
[14:44:33] HF-cache vooraf: 283344 MB, 10 model(len)
[14:44:40] Sanity-check op modeloutput...
[14:44:51] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5
[14:44:51] ── START 01 ──
[14:45:52]     ... 01 running: 61s, GPU 96%, 48.71W, 64C, 2496MHz
[14:46:52]     ... 01 running: 121s, GPU 96%, 48.04W, 68C, 2496MHz
[14:47:52]     ... 01 running: 181s, GPU 96%, 49.91W, 69C, 2496MHz
[14:48:53]     ... 01 running: 242s, GPU 96%, 50.12W, 70C, 2496MHz
[14:49:53]     ... 01 running: 302s, GPU 96%, 50.50W, 71C, 2496MHz
[14:50:53]     ... 01 running: 362s, GPU 96%, 79.43W, 77C, 2301MHz
[14:51:54]     ... 01 running: 423s, GPU 96%, 39.76W, 68C, 2483MHz
[14:52:54]     ... 01 running: 483s, GPU 96%, 37.08W, 67C, 2483MHz
[14:53:55]     ... 01 running: 544s, GPU 96%, 77.52W, 76C, 2444MHz
[14:54:55]     ... 01 running: 604s, GPU 96%, 39.58W, 68C, 2483MHz
[14:55:55]     ... 01 running: 664s, GPU 96%, 36.95W, 67C, 2489MHz
[14:56:56]     ... 01 running: 725s, GPU 96%, 50.67W, 71C, 2496MHz
[14:57:56]     ... 01 running: 785s, GPU 96%, 39.66W, 68C, 2483MHz
[14:58:57]     ... 01 running: 846s, GPU 96%, 37.01W, 66C, 2483MHz
[14:59:57]     ... 01 running: 906s, GPU 96%, 50.32W, 69C, 2496MHz
[15:00:57]     ... 01 running: 966s, GPU 96%, 39.24W, 66C, 2483MHz
[15:01:58]     ... 01 running: 1027s, GPU 96%, 36.20W, 64C, 2483MHz
[15:02:58]     ... 01 running: 1087s, GPU 96%, 95.88W, 78C, 2359MHz
[15:03:59]     ... 01 running: 1148s, GPU 96%, 41.80W, 66C, 2489MHz
[15:04:59]     ... 01 running: 1208s, GPU 96%, 39.01W, 65C, 2483MHz
[15:05:59]     ... 01 running: 1268s, GPU 96%, 49.44W, 67C, 2496MHz
[15:07:00]     ... 01 running: 1329s, GPU 96%, 49.90W, 68C, 2496MHz
[15:08:00]     ... 01 running: 1389s, GPU 96%, 41.96W, 66C, 2483MHz
[15:09:00]     ... 01 running: 1449s, GPU 96%, 37.36W, 64C, 2483MHz
[15:09:51]     ... 01 running: 1500s, GPU 96%, 49.25W, 66C, 2496MHz
[15:10:51]     ... 01 running: 1560s, GPU 96%, 42.01W, 66C, 2483MHz
[15:11:52]     ... 01 running: 1620s, GPU 96%, 38.98W, 64C, 2483MHz
[15:12:52]     ... 01 running: 1681s, GPU 96%, 37.13W, 63C, 2483MHz
[15:13:52]     ... 01 running: 1741s, GPU 96%, 41.81W, 67C, 2489MHz
[15:14:53]     ... 01 running: 1802s, GPU 96%, 41.57W, 65C, 2489MHz
