[11:15:39] === bench-spark run ===
[11:15:39] Profile: dense-31b-nvfp4
[11:15:39] Tests:   C D E F G H I J
[11:15:39] Results: /home/eugene/benchmarks/bench-spark/results/gemma-4-31b-it/nvfp4
[18:47:20]     ... 02 running: 543s, GPU 96%, 85.10W, 79C, 2431MHz
[18:48:21]     ... 02 running: 604s, GPU 96%, 86.49W, 80C, 2444MHz
[18:49:21]     ... 02 running: 664s, GPU 96%, 44.53W, 65C, 2496MHz
[18:50:21]     ... 02 running: 724s, GPU 96%, 84.77W, 77C, 2457MHz
[18:51:22]     ... 02 running: 785s, GPU 96%, 84.79W, 81C, 2424MHz
[18:52:22]     ... 02 running: 845s, GPU 96%, 44.22W, 66C, 2496MHz
[18:53:22]     ... 02 running: 905s, GPU 96%, 86.14W, 77C, 2470MHz
[18:54:23]     ... 02 running: 966s, GPU 96%, 85.57W, 82C, 2431MHz
[18:55:23]     ... 02 running: 1026s, GPU 96%, 44.19W, 65C, 2496MHz
[18:56:24]     ... 02 running: 1087s, GPU 96%, 86.10W, 77C, 2431MHz
[18:57:24]     ... 02 running: 1147s, GPU 96%, 85.57W, 82C, 2444MHz
[18:58:24]     ... 02 running: 1207s, GPU 96%, 44.22W, 65C, 2496MHz
[18:59:25]     ... 02 running: 1268s, GPU 96%, 84.44W, 77C, 2463MHz
[19:00:25]     ... 02 running: 1328s, GPU 96%, 85.05W, 79C, 2463MHz
[19:01:25]     ... 02 running: 1388s, GPU 96%, 85.08W, 80C, 2431MHz
[19:02:26]     ... 02 running: 1449s, GPU 96%, 51.56W, 71C, 2476MHz
[19:03:26]     ... 02 running: 1509s, GPU 96%, 43.59W, 65C, 2496MHz
[19:04:26]     ... 02 running: 1569s, GPU 96%, 86.37W, 77C, 2437MHz
[19:05:17]     ... 02 running: 1620s, GPU 96%, 85.75W, 81C, 2463MHz
[19:06:17]     ... 02 running: 1680s, GPU 96%, 86.17W, 79C, 2411MHz
[19:07:17]     ... 02 running: 1740s, GPU 96%, 51.74W, 72C, 2470MHz
[19:08:18]     ... 02 running: 1801s, GPU 96%, 50.54W, 67C, 2496MHz
[19:09:18]     ... 02 running: 1861s, GPU 96%, 85.68W, 76C, 2437MHz
[19:10:18]     ... 02 running: 1921s, GPU 96%, 85.61W, 79C, 2457MHz
[19:11:19]     ... 02 running: 1982s, GPU 96%, 85.62W, 79C, 2437MHz
[19:12:19]     ... 02 running: 2042s, GPU 96%, 51.38W, 72C, 2470MHz
[19:13:19]     ... 02 running: 2102s, GPU 96%, 50.42W, 67C, 2496MHz
[19:14:20]     ... 02 running: 2163s, GPU 96%, 85.90W, 79C, 2444MHz
[19:15:20]     ... 02 running: 2223s, GPU 96%, 85.56W, 80C, 2431MHz
[19:16:20]     ... 02 running: 2283s, GPU 96%, 86.26W, 79C, 2418MHz
[19:17:21]     ... 02 running: 2344s, GPU 96%, 51.62W, 72C, 2476MHz
[19:18:21]     ... 02 running: 2404s, GPU 96%, 50.59W, 67C, 2496MHz
[19:19:05] ── END 02 (2448s) ──
[19:19:05] ── START 03 ──
[19:20:05]     ... 03 running: 60s, GPU 96%, 47.76W, 69C, 2496MHz
[19:21:05]     ... 03 running: 120s, GPU 96%, 57.56W, 75C, 2496MHz
[19:22:06]     ... 03 running: 181s, GPU 96%, 41.30W, 70C, 2496MHz
[19:23:06]     ... 03 running: 241s, GPU 96%, 41.34W, 70C, 2496MHz
[19:24:07]     ... 03 running: 302s, GPU 96%, 42.40W, 70C, 2496MHz
[19:25:07]     ... 03 running: 362s, GPU 96%, 48.40W, 71C, 2496MHz
[19:26:08]     ... 03 running: 423s, GPU 96%, 45.65W, 70C, 2496MHz
[19:27:08]     ... 03 running: 483s, GPU 96%, 44.97W, 68C, 2496MHz
[19:28:08]     ... 03 running: 543s, GPU 96%, 44.83W, 67C, 2496MHz
[19:29:09]     ... 03 running: 604s, GPU 96%, 38.92W, 64C, 2496MHz
[19:30:09]     ... 03 running: 664s, GPU 96%, 39.68W, 64C, 2496MHz
[19:30:31] ── END 03 (686s) ──
[19:30:31] ── START 04 ──
[19:31:31]     ... 04 running: 60s, GPU 96%, 46.89W, 66C, 2496MHz
[19:32:32]     ... 04 running: 121s, GPU 96%, 47.00W, 67C, 2496MHz
[19:33:32]     ... 04 running: 181s, GPU 96%, 46.98W, 66C, 2496MHz
[19:34:33]     ... 04 running: 242s, GPU 96%, 41.47W, 67C, 2496MHz
[19:35:33]     ... 04 running: 302s, GPU 96%, 38.89W, 64C, 2496MHz
[19:36:33]     ... 04 running: 362s, GPU 96%, 39.77W, 64C, 2496MHz
[19:37:34]     ... 04 running: 423s, GPU 96%, 40.16W, 65C, 2496MHz
[19:38:34]     ... 04 running: 483s, GPU 96%, 87.33W, 74C, 2457MHz
[19:39:35]     ... 04 running: 544s, GPU 96%, 39.59W, 64C, 2496MHz
[19:40:35]     ... 04 running: 604s, GPU 96%, 44.91W, 67C, 2496MHz
[19:41:35]     ... 04 running: 664s, GPU 96%, 87.41W, 78C, 2457MHz
[19:42:36]     ... 04 running: 725s, GPU 96%, 41.84W, 66C, 2496MHz
[19:43:36]     ... 04 running: 785s, GPU 96%, 45.45W, 69C, 2496MHz
[19:44:37]     ... 04 running: 846s, GPU 96%, 41.37W, 65C, 2496MHz
[19:45:37]     ... 04 running: 906s, GPU 96%, 45.07W, 68C, 2496MHz
[19:46:30] ── END 04 (959s) ──
[19:46:30] ── START 05 ──
[19:47:31]     ... 05 running: 61s, GPU 96%, 47.17W, 67C, 2496MHz
[19:48:31]     ... 05 running: 121s, GPU 96%, 47.10W, 67C, 2496MHz
[19:49:31]     ... 05 running: 181s, GPU 96%, 86.49W, 78C, 2437MHz
[19:50:32]     ... 05 running: 242s, GPU 96%, 85.56W, 75C, 2444MHz
[19:51:32]     ... 05 running: 302s, GPU 96%, 86.17W, 76C, 2457MHz
[19:52:33]     ... 05 running: 363s, GPU 96%, 87.08W, 76C, 2437MHz
[19:53:33]     ... 05 running: 423s, GPU 96%, 86.26W, 79C, 2450MHz
[19:54:33]     ... 05 running: 483s, GPU 96%, 44.96W, 68C, 2496MHz
[19:55:34]     ... 05 running: 544s, GPU 96%, 80.23W, 77C, 2457MHz
[19:56:34]     ... 05 running: 604s, GPU 96%, 86.51W, 73C, 2444MHz
[19:57:34]     ... 05 running: 664s, GPU 96%, 45.12W, 69C, 2496MHz
[19:58:35]     ... 05 running: 725s, GPU 96%, 46.04W, 71C, 2496MHz
[19:59:35]     ... 05 running: 785s, GPU 96%, 46.67W, 66C, 2496MHz
[20:00:36]     ... 05 running: 846s, GPU 96%, 46.06W, 64C, 2496MHz
[20:01:36]     ... 05 running: 906s, GPU 96%, 85.54W, 73C, 2470MHz
[20:02:36]     ... 05 running: 966s, GPU 96%, 84.90W, 73C, 2450MHz
[20:03:37]     ... 05 running: 1027s, GPU 96%, 41.77W, 68C, 2496MHz
[20:04:37]     ... 05 running: 1087s, GPU 96%, 42.88W, 72C, 2470MHz
[20:05:37]     ... 05 running: 1147s, GPU 96%, 84.71W, 73C, 2437MHz
[20:06:38]     ... 05 running: 1208s, GPU 96%, 39.72W, 64C, 2496MHz
[20:07:38]     ... 05 running: 1268s, GPU 96%, 42.53W, 70C, 2496MHz
[20:08:38]     ... 05 running: 1328s, GPU 96%, 85.19W, 79C, 2437MHz
[20:09:39]     ... 05 running: 1389s, GPU 96%, 85.24W, 80C, 2437MHz
[20:10:39]     ... 05 running: 1449s, GPU 96%, 85.18W, 72C, 2431MHz
[20:12:30]     ... 05 running: 1560s, GPU 96%, 44.62W, 66C, 2496MHz
[20:13:30]     ... 05 running: 1620s, GPU 96%, 86.10W, 77C, 2450MHz
[20:14:31]     ... 05 running: 1681s, GPU 96%, 45.22W, 69C, 2496MHz
[20:15:31]     ... 05 running: 1741s, GPU 96%, 85.94W, 79C, 2431MHz
[20:16:31]     ... 05 running: 1801s, GPU 96%, 85.36W, 77C, 2411MHz
[20:17:32]     ... 05 running: 1862s, GPU 96%, 85.90W, 73C, 2470MHz
[20:18:32]     ... 05 running: 1922s, GPU 96%, 85.46W, 72C, 2463MHz
[20:19:32]     ... 05 running: 1982s, GPU 96%, 84.17W, 70C, 2437MHz
[20:20:33]     ... 05 running: 2043s, GPU 96%, 84.36W, 75C, 2450MHz
[20:21:33]     ... 05 running: 2103s, GPU 96%, 84.27W, 75C, 2431MHz
[20:22:33]     ... 05 running: 2163s, GPU 96%, 78.68W, 81C, 2392MHz
[20:23:34]     ... 05 running: 2224s, GPU 96%, 41.79W, 68C, 2496MHz
[20:24:34]     ... 05 running: 2284s, GPU 96%, 80.84W, 75C, 2444MHz
[20:25:35]     ... 05 running: 2345s, GPU 96%, 80.61W, 76C, 2470MHz
[20:26:35]     ... 05 running: 2405s, GPU 96%, 85.65W, 73C, 2450MHz
[20:27:35]     ... 05 running: 2465s, GPU 96%, 82.20W, 80C, 2444MHz
[20:28:36]     ... 05 running: 2526s, GPU 96%, 41.58W, 68C, 2496MHz
[20:29:36]     ... 05 running: 2586s, GPU 96%, 83.40W, 78C, 2444MHz
[20:30:36]     ... 05 running: 2646s, GPU 96%, 82.76W, 82C, 2457MHz
[20:31:37]     ... 05 running: 2707s, GPU 96%, 84.66W, 69C, 2450MHz
[20:32:37]     ... 05 running: 2767s, GPU 96%, 82.49W, 79C, 2463MHz
[20:33:37]     ... 05 running: 2827s, GPU 96%, 80.43W, 75C, 2424MHz
[20:34:38]     ... 05 running: 2888s, GPU 96%, 82.22W, 75C, 2450MHz
[20:35:38]     ... 05 running: 2948s, GPU 96%, 44.48W, 67C, 2496MHz
[20:36:39]     ... 05 running: 3008s, GPU 96%, 86.18W, 78C, 2424MHz
[20:37:39]     ... 05 running: 3069s, GPU 96%, 81.93W, 79C, 2431MHz
[20:38:39]     ... 05 running: 3129s, GPU 96%, 84.31W, 76C, 2437MHz
[20:40:30]     ... 05 running: 3240s, GPU 96%, 86.10W, 74C, 2463MHz
[20:41:30]     ... 05 running: 3300s, GPU 96%, 83.22W, 76C, 2418MHz
[20:42:31]     ... 05 running: 3361s, GPU 96%, 81.82W, 78C, 2457MHz
[20:43:31]     ... 05 running: 3421s, GPU 96%, 82.39W, 75C, 2418MHz
[20:44:31]     ... 05 running: 3481s, GPU 96%, 44.71W, 67C, 2496MHz
[20:45:32]     ... 05 running: 3542s, GPU 96%, 83.71W, 75C, 2431MHz
[20:46:32]     ... 05 running: 3602s, GPU 96%, 83.16W, 79C, 2437MHz
[20:47:32]     ... 05 running: 3662s, GPU 96%, 81.82W, 78C, 2470MHz
[20:48:33]     ... 05 running: 3723s, GPU 96%, 87.65W, 77C, 2450MHz
[20:49:33]     ... 05 running: 3783s, GPU 96%, 84.63W, 73C, 2470MHz
[20:50:33]     ... 05 running: 3843s, GPU 96%, 46.51W, 68C, 2496MHz
[20:51:34]     ... 05 running: 3904s, GPU 96%, 47.22W, 70C, 2496MHz
[20:52:34]     ... 05 running: 3964s, GPU 96%, 80.44W, 77C, 2450MHz
[20:53:34]     ... 05 running: 4024s, GPU 96%, 79.60W, 80C, 2444MHz
[20:54:35]     ... 05 running: 4085s, GPU 96%, 46.76W, 69C, 2496MHz
[20:55:35]     ... 05 running: 4145s, GPU 96%, 76.17W, 77C, 2470MHz
[20:56:35]     ... 05 running: 4205s, GPU 96%, 82.01W, 79C, 2450MHz
[20:57:36]     ... 05 running: 4266s, GPU 96%, 83.49W, 79C, 2424MHz
[20:58:36]     ... 05 running: 4326s, GPU 96%, 41.02W, 64C, 2496MHz
[20:59:36]     ... 05 running: 4386s, GPU 96%, 76.50W, 75C, 2411MHz
[21:00:37]     ... 05 running: 4447s, GPU 96%, 77.24W, 81C, 2470MHz
[21:01:37]     ... 05 running: 4507s, GPU 96%, 82.04W, 76C, 2437MHz
[21:02:37]     ... 05 running: 4567s, GPU 96%, 40.96W, 64C, 2496MHz
[21:03:38]     ... 05 running: 4628s, GPU 96%, 76.64W, 82C, 2450MHz
[21:04:38]     ... 05 running: 4688s, GPU 96%, 81.90W, 79C, 2450MHz
[21:05:38]     ... 05 running: 4748s, GPU 96%, 78.11W, 75C, 2470MHz
[21:06:39]     ... 05 running: 4809s, GPU 96%, 40.97W, 64C, 2496MHz
[21:07:39]     ... 05 running: 4869s, GPU 96%, 84.74W, 78C, 2437MHz
