[17:55:20] === bench-spark run ===
[17:55:20] Profile: qwen3.6-27b-fp8
[17:55:20] Tests:   01 02 03 04 05 06 07 08 09 10 11
[17:55:20] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/fp8
[17:55:24] Sanity-check op modeloutput...
[17:55:57] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 In het Nederlands We need to count from 1 to 5 in Dutch.
[17:55:57] ── START 01 ──
[22:38:23]     ... 05 running: 5763s, GPU 96%, 64.55W, 78C, 2457MHz
[22:39:23]     ... 05 running: 5823s, GPU 96%, 64.80W, 80C, 2463MHz
[22:40:24]     ... 05 running: 5884s, GPU 96%, 66.03W, 79C, 2463MHz
[22:41:24]     ... 05 running: 5944s, GPU 96%, 63.42W, 76C, 2470MHz
[22:42:25]     ... 05 running: 6005s, GPU 96%, 64.88W, 76C, 2470MHz
[22:43:26]     ... 05 running: 6066s, GPU 96%, 41.98W, 70C, 2489MHz
[22:44:26]     ... 05 running: 6126s, GPU 96%, 64.12W, 74C, 2470MHz
[22:45:27]     ... 05 running: 6187s, GPU 96%, 63.47W, 75C, 2470MHz
[22:46:27]     ... 05 running: 6247s, GPU 96%, 65.75W, 75C, 2470MHz
[22:47:28]     ... 05 running: 6308s, GPU 96%, 64.02W, 74C, 2470MHz
[22:48:28]     ... 05 running: 6368s, GPU 96%, 62.49W, 75C, 2470MHz
[22:49:29]     ... 05 running: 6429s, GPU 96%, 63.86W, 74C, 2470MHz
[22:51:20]     ... 05 running: 6540s, GPU 96%, 62.63W, 72C, 2470MHz
[22:52:21]     ... 05 running: 6601s, GPU 96%, 63.55W, 78C, 2470MHz
[22:53:21]     ... 05 running: 6661s, GPU 96%, 65.59W, 80C, 2463MHz
[22:54:22]     ... 05 running: 6722s, GPU 96%, 64.15W, 80C, 2457MHz
[22:55:22]     ... 05 running: 6782s, GPU 96%, 66.09W, 76C, 2470MHz
[22:56:23]     ... 05 running: 6843s, GPU 96%, 63.31W, 76C, 2470MHz
[22:57:24]     ... 05 running: 6904s, GPU 96%, 65.67W, 78C, 2470MHz
[22:58:12] ── END 05 (6952s) ──
[22:58:12] ── START 06 ──
