
════════ nieuwe sessie 2026-08-12T03:04:56+02:00 ════════
[03:04:56] === bench-spark run ===
[03:04:56] Profile: muse-glimmer-30b-bf16
[03:04:56] Tests:   01 02 03 04 05 06 07 08 09 10 11
[03:04:56] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16
[03:05:02] Sanity-check op modeloutput...
[03:06:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, 5 Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to
[03:06:00] ── START 01 ──
[05:38:01]     ... 03 running: 3845s, GPU 96%, 37.54W, 59C, 2502MHz
[05:39:01]     ... 03 running: 3905s, GPU 96%, 37.07W, 59C, 2502MHz
[05:40:01]     ... 03 running: 3965s, GPU 96%, 37.09W, 59C, 2502MHz
[05:41:02]     ... 03 running: 4026s, GPU 96%, 36.99W, 59C, 2502MHz
[05:42:02]     ... 03 running: 4086s, GPU 96%, 37.01W, 58C, 2502MHz
[05:43:03]     ... 03 running: 4147s, GPU 96%, 36.92W, 58C, 2502MHz
[05:44:03]     ... 03 running: 4207s, GPU 96%, 36.94W, 58C, 2502MHz
[05:45:03]     ... 03 running: 4267s, GPU 96%, 53.72W, 59C, 2502MHz
[05:46:04]     ... 03 running: 4328s, GPU 96%, 37.63W, 58C, 2502MHz
[05:47:04]     ... 03 running: 4388s, GPU 96%, 37.95W, 59C, 2502MHz
[05:48:05]     ... 03 running: 4449s, GPU 96%, 38.10W, 58C, 2502MHz
[05:49:05]     ... 03 running: 4509s, GPU 96%, 38.28W, 58C, 2502MHz
[05:50:05]     ... 03 running: 4569s, GPU 96%, 38.57W, 59C, 2502MHz
[05:50:56]     ... 03 running: 4620s, GPU 96%, 37.05W, 58C, 2502MHz
[05:51:56]     ... 03 running: 4680s, GPU 96%, 37.22W, 58C, 2502MHz
[05:52:57]     ... 03 running: 4741s, GPU 96%, 37.28W, 58C, 2502MHz
[05:53:57]     ... 03 running: 4801s, GPU 96%, 37.31W, 58C, 2502MHz
[05:54:57]     ... 03 running: 4861s, GPU 96%, 37.31W, 58C, 2502MHz
[05:55:58]     ... 03 running: 4922s, GPU 96%, 37.29W, 58C, 2502MHz
[05:56:58]     ... 03 running: 4982s, GPU 96%, 36.96W, 58C, 2502MHz
[05:57:59]     ... 03 running: 5043s, GPU 96%, 35.60W, 58C, 2502MHz
[05:58:59]     ... 03 running: 5103s, GPU 96%, 35.56W, 57C, 2502MHz
[06:00:00]     ... 03 running: 5164s, GPU 96%, 35.50W, 57C, 2502MHz
[06:01:00]     ... 03 running: 5224s, GPU 96%, 35.50W, 57C, 2502MHz
[06:02:00]     ... 03 running: 5284s, GPU 96%, 37.64W, 58C, 2502MHz
[06:03:01]     ... 03 running: 5345s, GPU 96%, 37.83W, 58C, 2502MHz
[06:04:01]     ... 03 running: 5405s, GPU 96%, 37.44W, 58C, 2502MHz
[06:05:02]     ... 03 running: 5466s, GPU 96%, 38.30W, 58C, 2502MHz
[06:06:02]     ... 03 running: 5526s, GPU 96%, 36.82W, 58C, 2502MHz
[06:07:02]     ... 03 running: 5586s, GPU 96%, 36.97W, 58C, 2502MHz
[06:08:03]     ... 03 running: 5647s, GPU 96%, 37.12W, 58C, 2502MHz
[06:09:03]     ... 03 running: 5707s, GPU 96%, 37.31W, 58C, 2502MHz
[06:10:03]     ... 03 running: 5767s, GPU 96%, 37.17W, 58C, 2502MHz
[06:11:04]     ... 03 running: 5828s, GPU 96%, 36.86W, 58C, 2502MHz
[06:12:04]     ... 03 running: 5888s, GPU 96%, 36.84W, 58C, 2502MHz
[06:13:05]     ... 03 running: 5949s, GPU 96%, 36.83W, 58C, 2502MHz
[06:14:05]     ... 03 running: 6009s, GPU 96%, 36.81W, 58C, 2502MHz
[06:15:05]     ... 03 running: 6069s, GPU 96%, 36.88W, 58C, 2502MHz
[06:15:56]     ... 03 running: 6120s, GPU 96%, 36.75W, 58C, 2502MHz
[06:16:56]     ... 03 running: 6180s, GPU 96%, 35.38W, 57C, 2502MHz
[06:17:57]     ... 03 running: 6241s, GPU 96%, 37.56W, 58C, 2502MHz
[06:18:57]     ... 03 running: 6301s, GPU 96%, 37.85W, 58C, 2502MHz
[06:19:57]     ... 03 running: 6361s, GPU 96%, 37.98W, 58C, 2502MHz
[06:20:58]     ... 03 running: 6422s, GPU 96%, 38.25W, 58C, 2502MHz
[06:21:58]     ... 03 running: 6482s, GPU 96%, 38.49W, 59C, 2502MHz
[06:22:59]     ... 03 running: 6543s, GPU 96%, 38.91W, 59C, 2502MHz
[06:23:59]     ... 03 running: 6603s, GPU 96%, 39.03W, 59C, 2502MHz
[06:24:59]     ... 03 running: 6663s, GPU 96%, 39.06W, 59C, 2502MHz
[06:26:00]     ... 03 running: 6724s, GPU 96%, 39.16W, 59C, 2502MHz
[06:27:00]     ... 03 running: 6784s, GPU 96%, 39.14W, 59C, 2502MHz
[06:28:01]     ... 03 running: 6845s, GPU 96%, 39.23W, 59C, 2502MHz
[06:29:01]     ... 03 running: 6905s, GPU 96%, 39.13W, 59C, 2502MHz
[06:30:02]     ... 03 running: 6966s, GPU 96%, 39.22W, 59C, 2502MHz
[06:31:02]     ... 03 running: 7026s, GPU 96%, 39.18W, 59C, 2502MHz
[06:32:02]     ... 03 running: 7086s, GPU 96%, 39.13W, 59C, 2502MHz
[06:33:03]     ... 03 running: 7147s, GPU 96%, 37.24W, 58C, 2502MHz
[06:34:03]     ... 03 running: 7207s, GPU 96%, 40.57W, 59C, 2502MHz
[06:35:03]     ... 03 running: 7267s, GPU 96%, 40.94W, 59C, 2502MHz
[06:36:04]     ... 03 running: 7328s, GPU 96%, 41.45W, 60C, 2502MHz
[06:37:04]     ... 03 running: 7388s, GPU 96%, 41.98W, 60C, 2502MHz
[06:38:05]     ... 03 running: 7449s, GPU 96%, 39.74W, 60C, 2502MHz
[06:39:05]     ... 03 running: 7509s, GPU 96%, 40.10W, 59C, 2502MHz
[06:40:56]     ... 03 running: 7620s, GPU 96%, 40.62W, 60C, 2502MHz
[06:41:56]     ... 03 running: 7680s, GPU 96%, 40.56W, 60C, 2502MHz
[06:42:57]     ... 03 running: 7741s, GPU 96%, 40.62W, 59C, 2502MHz
[06:43:57]     ... 03 running: 7801s, GPU 96%, 40.57W, 60C, 2502MHz
[06:44:57]     ... 03 running: 7861s, GPU 96%, 40.70W, 60C, 2502MHz
[06:45:58]     ... 03 running: 7922s, GPU 96%, 40.65W, 60C, 2502MHz
[06:46:58]     ... 03 running: 7982s, GPU 96%, 40.33W, 60C, 2502MHz
[06:47:59]     ... 03 running: 8043s, GPU 96%, 40.21W, 60C, 2502MHz
[06:48:59]     ... 03 running: 8103s, GPU 96%, 40.30W, 60C, 2502MHz
[06:49:59]     ... 03 running: 8163s, GPU 96%, 40.97W, 60C, 2502MHz
[06:51:00]     ... 03 running: 8224s, GPU 96%, 40.65W, 60C, 2502MHz
[06:52:00]     ... 03 running: 8284s, GPU 96%, 41.83W, 60C, 2502MHz
[06:53:01]     ... 03 running: 8345s, GPU 96%, 42.22W, 60C, 2502MHz
[06:54:01]     ... 03 running: 8405s, GPU 96%, 42.75W, 61C, 2502MHz
[06:55:01]     ... 03 running: 8465s, GPU 96%, 42.99W, 61C, 2502MHz
[06:56:02]     ... 03 running: 8526s, GPU 96%, 43.42W, 61C, 2502MHz
[06:57:02]     ... 03 running: 8586s, GPU 96%, 40.79W, 60C, 2502MHz
[06:58:03]     ... 03 running: 8647s, GPU 96%, 40.45W, 60C, 2502MHz
[06:59:03]     ... 03 running: 8707s, GPU 96%, 40.43W, 60C, 2502MHz
[07:00:03]     ... 03 running: 8767s, GPU 96%, 39.88W, 60C, 2502MHz
[07:01:04]     ... 03 running: 8828s, GPU 96%, 40.00W, 60C, 2502MHz
[07:02:04]     ... 03 running: 8888s, GPU 96%, 39.47W, 60C, 2502MHz
[07:03:05]     ... 03 running: 8949s, GPU 96%, 37.51W, 59C, 2502MHz
[07:04:05]     ... 03 running: 9009s, GPU 96%, 37.51W, 59C, 2502MHz
[07:05:05]     ... 03 running: 9069s, GPU 96%, 35.79W, 58C, 2502MHz
[07:05:56]     ... 03 running: 9120s, GPU 96%, 35.61W, 58C, 2502MHz
