[19:58:53] === bench-spark run ===
[19:58:53] Profile: qwen3.6-27b-bf16
[19:58:53] Tests:   01 02 03 04 05 06 07 08 09 10 11
[19:58:53] Results: /home/eugene/benchmarks/bench-spark/results/qwen3.6-27b/bf16
[19:58:59] Sanity-check op modeloutput...
[19:59:55] SANITY: OK, model antwoordt: 1. één 2. twee 3. drie 4. vier 5. vijf We need to count from 1 to 5 in
[19:59:55] ── START 01 ──
[22:29:10]     ... 03 running: 3361s, GPU 96%, 39.66W, 69C, 2489MHz
[22:30:10]     ... 03 running: 3421s, GPU 96%, 39.70W, 68C, 2489MHz
[22:31:11]     ... 03 running: 3482s, GPU 96%, 38.10W, 67C, 2489MHz
[22:32:11]     ... 03 running: 3542s, GPU 96%, 37.21W, 67C, 2489MHz
[22:33:11]     ... 03 running: 3602s, GPU 96%, 37.08W, 67C, 2489MHz
[22:34:12]     ... 03 running: 3663s, GPU 96%, 51.19W, 71C, 2496MHz
[22:35:12]     ... 03 running: 3723s, GPU 96%, 51.24W, 72C, 2470MHz
[22:36:13]     ... 03 running: 3784s, GPU 96%, 51.32W, 73C, 2470MHz
[22:37:13]     ... 03 running: 3844s, GPU 96%, 51.43W, 73C, 2470MHz
[22:38:13]     ... 03 running: 3904s, GPU 96%, 51.59W, 73C, 2470MHz
[22:39:14]     ... 03 running: 3965s, GPU 96%, 51.57W, 73C, 2470MHz
[22:40:14]     ... 03 running: 4025s, GPU 96%, 51.73W, 74C, 2470MHz
[22:41:14]     ... 03 running: 4085s, GPU 96%, 51.75W, 74C, 2470MHz
[22:42:15]     ... 03 running: 4146s, GPU 96%, 40.17W, 70C, 2489MHz
[22:43:15]     ... 03 running: 4206s, GPU 96%, 39.84W, 69C, 2489MHz
[22:44:16]     ... 03 running: 4267s, GPU 96%, 39.62W, 68C, 2489MHz
[22:45:16]     ... 03 running: 4327s, GPU 96%, 39.57W, 68C, 2489MHz
[22:46:16]     ... 03 running: 4387s, GPU 96%, 39.59W, 68C, 2489MHz
[22:47:17]     ... 03 running: 4448s, GPU 96%, 37.98W, 67C, 2489MHz
[22:48:17]     ... 03 running: 4508s, GPU 96%, 37.88W, 67C, 2489MHz
[22:49:18]     ... 03 running: 4569s, GPU 96%, 37.82W, 67C, 2489MHz
[22:50:18]     ... 03 running: 4629s, GPU 96%, 37.73W, 66C, 2489MHz
[22:52:09]     ... 03 running: 4740s, GPU 96%, 37.78W, 66C, 2489MHz
[22:53:09]     ... 03 running: 4800s, GPU 96%, 37.80W, 66C, 2489MHz
[22:54:10]     ... 03 running: 4861s, GPU 96%, 37.79W, 66C, 2489MHz
[22:55:10]     ... 03 running: 4921s, GPU 96%, 36.94W, 66C, 2489MHz
[22:56:11]     ... 03 running: 4982s, GPU 96%, 36.86W, 66C, 2489MHz
[22:57:11]     ... 03 running: 5042s, GPU 96%, 36.88W, 66C, 2489MHz
[22:58:11]     ... 03 running: 5102s, GPU 96%, 39.19W, 66C, 2489MHz
[22:59:12]     ... 03 running: 5163s, GPU 96%, 39.25W, 66C, 2489MHz
[23:00:12]     ... 03 running: 5223s, GPU 96%, 39.19W, 66C, 2489MHz
[23:01:13]     ... 03 running: 5284s, GPU 96%, 39.20W, 66C, 2489MHz
[23:02:13]     ... 03 running: 5344s, GPU 96%, 39.23W, 67C, 2489MHz
[23:03:13]     ... 03 running: 5404s, GPU 96%, 39.23W, 67C, 2489MHz
[23:04:14]     ... 03 running: 5465s, GPU 96%, 37.75W, 66C, 2489MHz
[23:05:14]     ... 03 running: 5525s, GPU 96%, 37.67W, 66C, 2489MHz
[23:06:15]     ... 03 running: 5586s, GPU 96%, 36.87W, 66C, 2489MHz
[23:07:15]     ... 03 running: 5646s, GPU 96%, 36.86W, 66C, 2489MHz
[23:08:16]     ... 03 running: 5707s, GPU 96%, 50.49W, 69C, 2496MHz
[23:09:16]     ... 03 running: 5767s, GPU 96%, 51.16W, 71C, 2496MHz
[23:10:16]     ... 03 running: 5827s, GPU 96%, 51.44W, 72C, 2496MHz
[23:11:17]     ... 03 running: 5888s, GPU 96%, 51.21W, 72C, 2470MHz
[23:12:17]     ... 03 running: 5948s, GPU 96%, 51.38W, 73C, 2470MHz
[23:13:17]     ... 03 running: 6008s, GPU 96%, 42.90W, 71C, 2489MHz
[23:14:18]     ... 03 running: 6069s, GPU 96%, 42.47W, 69C, 2489MHz
[23:15:18]     ... 03 running: 6129s, GPU 96%, 42.35W, 69C, 2489MHz
[23:16:09]     ... 03 running: 6180s, GPU 96%, 42.33W, 69C, 2489MHz
[23:17:09]     ... 03 running: 6240s, GPU 96%, 42.21W, 69C, 2489MHz
[23:18:09]     ... 03 running: 6300s, GPU 96%, 42.12W, 68C, 2489MHz
[23:19:10]     ... 03 running: 6361s, GPU 96%, 41.36W, 68C, 2489MHz
[23:20:10]     ... 03 running: 6421s, GPU 96%, 39.69W, 67C, 2489MHz
[23:21:11]     ... 03 running: 6482s, GPU 96%, 39.46W, 67C, 2489MHz
[23:22:11]     ... 03 running: 6542s, GPU 96%, 39.10W, 68C, 2489MHz
[23:23:12]     ... 03 running: 6603s, GPU 96%, 38.04W, 67C, 2489MHz
[23:24:12]     ... 03 running: 6663s, GPU 96%, 37.87W, 66C, 2489MHz
[23:25:12]     ... 03 running: 6723s, GPU 96%, 36.90W, 66C, 2489MHz
[23:26:13]     ... 03 running: 6784s, GPU 96%, 36.85W, 66C, 2489MHz
[23:27:13]     ... 03 running: 6844s, GPU 96%, 36.82W, 66C, 2489MHz
[23:28:14]     ... 03 running: 6905s, GPU 96%, 36.89W, 65C, 2489MHz
[23:29:14]     ... 03 running: 6965s, GPU 96%, 65.93W, 74C, 2489MHz
[23:30:14]     ... 03 running: 7025s, GPU 96%, 41.82W, 67C, 2489MHz
[23:31:15]     ... 03 running: 7086s, GPU 96%, 41.90W, 67C, 2489MHz
[23:32:15]     ... 03 running: 7146s, GPU 96%, 41.91W, 67C, 2489MHz
[23:33:16]     ... 03 running: 7207s, GPU 96%, 41.93W, 68C, 2489MHz
[23:34:16]     ... 03 running: 7267s, GPU 96%, 42.02W, 68C, 2489MHz
[23:35:17]     ... 03 running: 7328s, GPU 96%, 42.09W, 68C, 2489MHz
[23:36:17]     ... 03 running: 7388s, GPU 96%, 41.99W, 68C, 2489MHz
[23:37:17]     ... 03 running: 7448s, GPU 96%, 39.46W, 67C, 2489MHz
[23:38:18]     ... 03 running: 7509s, GPU 96%, 39.40W, 67C, 2489MHz
[23:39:18]     ... 03 running: 7569s, GPU 96%, 39.45W, 67C, 2489MHz
[23:40:09]     ... 03 running: 7620s, GPU 96%, 39.42W, 67C, 2489MHz
[23:41:09]     ... 03 running: 7680s, GPU 96%, 39.44W, 67C, 2489MHz
