[14:16:30] === bench-spark run ===
[14:16:30] Profile: muse-glimmer-30b-bf16-spec
[14:16:30] Tests:   01 02 03 04 05 06 07 08 09 10 11
[14:16:30] Results: /home/eugene/benchmarks/bench-spark/results/muse-glimmer-30b/bf16-spec
[14:16:38] Sanity-check op modeloutput...
[14:17:00] SANITY: OK, model antwoordt: 1, 2, 3, 4, Tel van 1 tot 5. Tel van 1 tot 5. Dutch: Count from 1 to 5
[14:17:00] ── START 01 ──
[18:24:21]     ... 07 running: 1981s, GPU 96%, 71.75W, 79C, 2450MHz
[18:25:21]     ... 07 running: 2041s, GPU 96%, 72.28W, 75C, 2450MHz
[18:26:22]     ... 07 running: 2102s, GPU 96%, 75.72W, 76C, 2450MHz
[18:27:22]     ... 07 running: 2162s, GPU 96%, 75.98W, 75C, 2457MHz
[18:28:22]     ... 07 running: 2222s, GPU 96%, 73.23W, 78C, 2457MHz
[18:29:23]     ... 07 running: 2283s, GPU 96%, 76.16W, 77C, 2457MHz
[18:30:23]     ... 07 running: 2343s, GPU 96%, 78.59W, 79C, 2457MHz
[18:31:24]     ... 07 running: 2404s, GPU 96%, 76.56W, 79C, 2463MHz
[18:32:24]     ... 07 running: 2464s, GPU 96%, 63.88W, 75C, 2470MHz
[18:33:15] ── END 07 (2515s) ──
[18:33:15] ── START 08 ──
[18:33:15] Kopieer ShareGPT naar container...
[18:34:15]     ... 08 running: 60s, GPU 0%, 13.84W, 55C, 2411MHz
[18:35:16]     ... 08 running: 121s, GPU 96%, 66.60W, 72C, 2470MHz
[18:36:16]     ... 08 running: 181s, GPU 96%, 52.18W, 72C, 2463MHz
[18:37:17]     ... 08 running: 242s, GPU 96%, 53.47W, 72C, 2463MHz
[18:38:17]     ... 08 running: 302s, GPU 96%, 64.34W, 75C, 2463MHz
[18:39:17]     ... 08 running: 362s, GPU 96%, 61.06W, 75C, 2470MHz
[18:40:18]     ... 08 running: 423s, GPU 96%, 68.21W, 80C, 2411MHz
[18:41:18]     ... 08 running: 483s, GPU 96%, 52.58W, 73C, 2470MHz
[18:42:19]     ... 08 running: 544s, GPU 96%, 56.26W, 75C, 2463MHz
[18:43:19]     ... 08 running: 604s, GPU 96%, 52.87W, 74C, 2470MHz
