[22:47:23] === bench-spark run ===
[22:47:23] Profile: dense-31b
[22:47:23] Tests:   A B C D E F G H I J
[22:47:23] Results: /home/spark/benchmarks/bench-spark/results/gemma-4-31b-it/no-prefix-cache
[22:47:23] ── START A ──
[04:03:19]     ... H running: 541s, GPU 96%
[04:04:19]     ... H running: 601s, GPU 96%
[04:05:19]     ... H running: 661s, GPU 96%
[04:06:19]     ... H running: 721s, GPU 96%
[04:07:19]     ... H running: 781s, GPU 96%
[04:08:19]     ... H running: 841s, GPU 96%
[04:09:19]     ... H running: 901s, GPU 96%
[04:10:19]     ... H running: 961s, GPU 96%
[04:11:19]     ... H running: 1021s, GPU 96%
[04:12:19]     ... H running: 1081s, GPU 96%
[04:13:19]     ... H running: 1141s, GPU 96%
[04:14:19]     ... H running: 1201s, GPU 96%
[04:15:19]     ... H running: 1261s, GPU 96%
[04:16:20]     ... H running: 1322s, GPU 96%
[04:17:20]     ... H running: 1382s, GPU 96%
[04:18:20]     ... H running: 1442s, GPU 96%
[04:19:20]     ... H running: 1502s, GPU 96%
[04:19:59] ── END H (1541s) ──
[04:19:59] ── START I ──
[04:19:59] Kopieer ShareGPT naar container...
[04:20:59]     ... I running: 60s, GPU 96%
[04:21:59]     ... I running: 120s, GPU 96%
[04:22:59]     ... I running: 180s, GPU 96%
[04:23:59]     ... I running: 240s, GPU 96%
[04:24:59]     ... I running: 300s, GPU 96%
[04:25:59]     ... I running: 360s, GPU 96%
[04:26:59]     ... I running: 420s, GPU 96%
[04:27:59]     ... I running: 480s, GPU 96%
[04:28:59]     ... I running: 540s, GPU 96%
[04:29:59]     ... I running: 600s, GPU 96%
[04:30:59]     ... I running: 660s, GPU 96%
[04:31:59]     ... I running: 720s, GPU 96%
[04:32:59]     ... I running: 780s, GPU 96%
[04:34:00]     ... I running: 841s, GPU 96%
[04:35:00]     ... I running: 901s, GPU 96%
[04:36:00]     ... I running: 961s, GPU 96%
[04:37:00]     ... I running: 1021s, GPU 96%
[04:37:17] ── END I (1038s) ──
[04:37:17] ── START J ──
[04:38:17]     ... J running: 60s, GPU 96%
[04:39:17]     ... J running: 120s, GPU 96%
[04:40:17]     ... J running: 180s, GPU 96%
[04:41:17]     ... J running: 240s, GPU 96%
[04:42:17]     ... J running: 300s, GPU 96%
[04:43:18]     ... J running: 361s, GPU 96%
[04:44:18]     ... J running: 421s, GPU 96%
[04:45:18]     ... J running: 481s, GPU 96%
[04:46:18]     ... J running: 541s, GPU 96%
[04:47:18]     ... J running: 601s, GPU 96%
[04:48:18]     ... J running: 661s, GPU 96%
[04:49:18]     ... J running: 721s, GPU 96%
[04:50:18]     ... J running: 781s, GPU 96%
[04:51:18]     ... J running: 841s, GPU 96%
[04:52:18]     ... J running: 901s, GPU 96%
[04:53:18]     ... J running: 961s, GPU 96%
[04:54:18]     ... J running: 1021s, GPU 96%
[04:55:18]     ... J running: 1081s, GPU 96%
[04:56:18]     ... J running: 1141s, GPU 96%
[04:57:18]     ... J running: 1201s, GPU 96%
[04:58:18]     ... J running: 1261s, GPU 96%
[04:59:18]     ... J running: 1321s, GPU 96%
[05:00:18]     ... J running: 1381s, GPU 96%
[05:01:18]     ... J running: 1441s, GPU 96%
[05:02:18]     ... J running: 1501s, GPU 96%
[05:03:18]     ... J running: 1561s, GPU 96%
[05:04:19]     ... J running: 1622s, GPU 96%
[05:05:19]     ... J running: 1682s, GPU 96%
[05:06:19]     ... J running: 1742s, GPU 96%
[05:07:19]     ... J running: 1802s, GPU 96%
[05:08:19]     ... J running: 1862s, GPU 96%
[05:09:19]     ... J running: 1922s, GPU 96%
[05:10:19]     ... J running: 1982s, GPU 96%
[05:11:19]     ... J running: 2042s, GPU 96%
[05:12:19]     ... J running: 2102s, GPU 96%
[05:13:19]     ... J running: 2162s, GPU 96%
[05:14:19]     ... J running: 2222s, GPU 96%
[05:15:19]     ... J running: 2282s, GPU 96%
[05:16:19]     ... J running: 2342s, GPU 96%
[05:17:19]     ... J running: 2402s, GPU 96%
[05:18:19]     ... J running: 2462s, GPU 96%
[05:19:19]     ... J running: 2522s, GPU 96%
[05:20:19]     ... J running: 2582s, GPU 96%
[05:21:19]     ... J running: 2642s, GPU 96%
[05:22:19]     ... J running: 2702s, GPU 96%
[05:23:19]     ... J running: 2762s, GPU 96%
[05:24:19]     ... J running: 2822s, GPU 96%
[05:25:20]     ... J running: 2883s, GPU 96%
[05:26:20]     ... J running: 2943s, GPU 96%
[05:27:20]     ... J running: 3003s, GPU 96%
[05:28:20]     ... J running: 3063s, GPU 96%
[05:29:20]     ... J running: 3123s, GPU 96%
[05:30:20]     ... J running: 3183s, GPU 96%
[05:31:20]     ... J running: 3243s, GPU 96%
[05:32:20]     ... J running: 3303s, GPU 96%
[05:33:20] ── END J (3363s) ──
[05:33:20] === klaar (24357s = 405m) ===
